;#############################################################
;#                            VERBOS                         # 
;#############################################################

COGER         20       verb
COGE          20       verb
TOMAR         20       verb
TOMA          20       verb
TAKE          20       verb
DEJAR         21       verb
DEJA          21       verb
SOLTAR        21       verb
SUELTA        21       verb
DROP          21       verb
QUITAR        22       verb
QUITA         22       verb
QUITATE       22       verb
QUITARTE      22       verb
QUITARSE      22       verb
QUITASE       22       verb
SACATE        22       verb
SACARTE       22       verb
SACARSE       22       verb
SACASE        22       verb
DESVISTE      22       verb
DESVESTIR     22       verb
DESVESTIRSE   22       verb
DESVESTIRTE   22       verb
SENTAR        23       verb
SENTARSE      23       verb
SENTARTE      23       verb
SIENTATE      23       verb
L             24       verb
LOOK          24       verb
M             24       verb   
MIRAR         24       verb   
MIRA          24       verb
QUIT          25       verb
FIN           25       verb
SAVE          26       verb
GRABAR        26       verb
GRABA         26       verb
SALVAR        26       verb
SALVA         26       verb
GUARDAR       26       verb
GUARDA        26       verb
LOAD          27       verb
CARGAR        27       verb
CARGA         27       verb
RAMSAVE       28       verb
GRABARAM      28       verb
RAMLOAD       29       verb
CARGARAM      29       verb
EXAMINAR      30       verb
EXAMINA       30       verb
EX            30       verb
INSPECCIONA   30       verb
OBSERVAR      30       verb
OBSERVA       30       verb
DECIR         31       verb
DI            31       verb
HABLAR        31       verb
HABLA         31       verb
RESPONDER     31       verb
RESPONDE      31       verb
LANZAR        32       verb
LANZA         32       verb
LANZARSE      32       verb
LANZASE       32       verb
TIRAR         32       verb
TIRA          32       verb
TIRARSE       32       verb
TIRASE        32       verb
ARROJA        32       verb
ARROJAR       32       verb
ARROJARSE     32       verb
ARROJASE      32       verb
EMPUJAR       33       verb
EMPUJA        33       verb
AYUDA         34       verb
HELP          34       verb
GIRAR         35       verb
GIRA          35       verb
ROTA          35       verb
ROTAR         35       verb
VOLTEAR       35       verb
VOLTEA        35       verb
MOSTRAR       36       verb
MOSTRARSE     36       verb
MUESTRA       36       verb
MUESTRASE     36       verb
ENSEÑAR       36       verb
ENSEÑA        36       verb
ENSEÑARSE     36       verb
ENSEÑASE      36       verb
ESCUCHAR      37       verb
ESCUCHA       37       verb
OIR           37       verb
OYE           37       verb
COMER         38       verb
COME          38       verb
COMETE        38       verb
COMERTE       38       verb
COMERSE       38       verb
TRAGA         38       verb
TRAGAR        38       verb
TRAGARTE      38       verb
TRAGARSE      38       verb
TRAGATE       38       verb
INGIERE       38       verb
INGERIR       38       verb
MASTICA       38       verb
MASTICAR      38       verb
BEBER         39       verb
BEBE          39       verb
BEBETE        39       verb
BEBERSE       39       verb
BEBERTE       39       verb
TOCAR         40       verb
TOCA          40       verb
ACARICIAR     40       verb
ACARICIA      40       verb
PALPA         40       verb
PALPAR        40       verb
SALIDAS       41       verb
EXITS         41       verb
X             41       verb
OLER          42       verb
HUELE         42       verb
OLFATEAR      42       verb
OLFATEA       42       verb
HUSMEA        42       verb
HUSMEAR       42       verb
ESPERAR       43       verb
ESPERA        43       verb
Z             43       verb
CANTAR        44       verb
CANTA         44       verb
SALTAR        45       verb
SALTA         45       verb
SALTATE       45       verb
SALTARSE      45       verb
SALTARTE      45       verb
BRINCAR       45       verb
BRINCA        45       verb
